Package_name,Title,Summary,Count_of_users
com.lexa.fakegps,Fake GPS location,Teleport your phone to any place in the world with one click!,17942
com.rosteam.gpsemulator,GPS Emulator,Emulate your GPS position. Change your phone's GPS coordinates.,10019
com.locationchanger,Location Changer - Fake GPS,Change your location to any place on Earth with this simple GPS emulator app!,6235
com.blogspot.newapphorizons.fakegps,Fake GPS,Simulate your phone location to anywhere in the world with just one click.,5478
com.fly.gps,Fly GPS-Location fake/Fake GPS,"Fly/Fake/GPS/ settings and favorite, search, recent history feature",2988
com.ironmeta.security.turbo.proxy.vpntomato.pro,Tomato VPN | VPN Proxy,Anonymous & useful VPN that unblocks any content!,2904
com.ninja.toolkit.pulse.fake.gps.pro,Fake GPS Location And Joystick,Teleport anywhere with Fake GPS Location. Very easy to handle with the joystick.,2820
ru.gavrikov.mocklocations,Mock Locations (fake GPS path),"Fake GPS location path - route movement, joystick control, play from GPX file",2046
com.dream.location,Location Changer-Fake GPS,Access geo-restricted content - the ultimate location changer app!,1650
com.incorporateapps.fakegps.fre,Fake GPS Location Spoofer,Changes the location on the phone on the fly,1578
com.chaozhuo.gameassistant,"Octopus - Gamepad, Keymapper","Play games with Gamepad(Xbox, PS, IPEGA, GameSir, etc.), mouse, keyboard!",1427
com.wind.gpsfaker,GPS Faker 2023-FakeGPSLocation,Change the location on your phone to anywhere in the world with just one click!,989
com.just4funtools.fakegpslocationprofessional,Fake GPS Location Professional,Set the location of your phone to anywhere on Earth,858
com.galaxylab.ss,Galaxy VPN - Unlimited Proxy,Betternet and unlimited proxy time unlimited data transfer & boost your network,572
com.hopefactory2021.fakegpslocation,Fake GPS Location Spoofer 2023,"Change your GPS location, featuring GPS joystick & routes",491
location.changer.fake.gps.spoof.emulator,Gmocker: Fake GPS Location,"Fake your phone's GPS location to anywhere, without spoof IP GPS location.",457
multispace.multiapp.clone.app.pro,Multi Space App : Clone App,"MultiApp or Multiple accounts on  one mobile phone,Support Mock GPS Location.",389
com.theappninjas.fakegpsjoystick,Fake GPS Location-GPS JoyStick,Teleport your phone to any place in the world! GPS Simulator with JoyStick.,387
com.fakelocator.fakegpslocationspoofer,,,297
com.gsmartstudio.fakegps,Fake GPS Location: Joystick an,Teleport your phone to any place in the world. Fake GPS location spoofer,247
com.fakegps.mock,,,141
com.vpn.proxy.marcosvpn,Marcos VPN - secure VPN proxy,This VPN proxy let you open all kind of website that are block at your location,139
net.marlove.mockgps,Mock GPS with joystick,Teleport anywhere you want using a real-time joystick.,134
com.mobile.fakelocation,LocaEdit GPS Location Joystick,Change your phone's GPS location with our fake location app - LocaEdit Fake GPS,122
travel.minskguide.geotag,GeoTag,"GPS geodata: take geodata, fake, edit or delete GPS exif on smartphone camera!",115
com.evezzon.fakegps,Fake GPS Joystick and Route,The most advanced fake location app in the Play Store!,114
com.technoviral.fakelivelocation,Fake Live Location | GPS,Do you want to send fake location to your friends on Whatsapp or other apps?,113
com.dga.smart.gpslocation.share.photostamp,Smart GPS Coordinates Locator,Explore the world with coordinate latitude and longitude as photostamp,86
com.appanchor.fakegps,Fake GPS Location and Joystick,"Teleport with fake gps joystick, mock location and gps emulator, fake route",56
com.tsng.hidemyapplist,Hide My Applist,An Xposed module to intercept applist detections,54
gpsfaker.fakelocation.gps.fakegps,,,51
net.wigle.wigleandroid,WiGLE WiFi Wardriving,Network stumbling and WiGLE.net database access for Android,47
fr.dvilleneuve.lockito,Lockito – GPS itinerary faker,Spoof a fake but realistic GPS itinerary following roads or a single point,47
com.gaston.greennet,GreenNet: Hotspot VPN Proxy,"GreenNet VPN Hotspot Proxy. European Based (Estonia), Your Privacy Comes First!",40
com.globalgnss.landmap,Land Map - GPS Land Survey & M,Land Map is a land survey application that uses GPS/GNSS for geo data collection,39
fakelocation.gps.wifi,FakeGps : Fake Gps Location,Change the location on your mobile device to any place.,38
com.imyfone.anytoandroid,AnyTo - Fake GPS Location,"A stable Location Changer, GPS joystick, Fake location for games and privacy.",30
fake.gps.location,Fake gps location,gps location changer the best appliaction to change your location.,29
com.incorporateapps.fakegps_route,Fake GPS Joystick & Routes Go,"Changes the location on your phone on the fly, now with routes and joystick",27
cg.gkquizforcgpsccgvyapam,Chhattisgarh GK Quiz For CGPSC,Chhattisgarh GK Multiple Choice Questions Quiz & Mini Mock For CGPSC & CGVYAPAM.,23
project.listick.fakegps,Fake GPS: Location spoofer,"Fake location in a couple of clicks with Fake GPS Location - routes, joystick.",22
com.globalgnss.gissurveyor,GIS Surveyor - Land Survey and,GIS Surveyor is a data collector app for online & offline GIS survey and mapping,22
com.adaptivebits.fakegpslocation,Fake GPS Location - Gypsy,Fake your real location with ease,21
com.galaxylab.ss.lite,Galaxy VPN Lite: Private Net,"Unlimited VPN master to unblock sites,WiFi hotspot security,protect privacy",20
com.discipleskies.gpsreset,GPS Reset COM - GPS Repair,"GPS tools & navigation system.  Get a faster GPS fix, repair GPS problems.",20
com.brandonnalls.mockmocklocations,,,18
com.applicality.mobiletopographergis,Mobile Topographer GIS,The era of mobile surveying is here...,16
com.fakegpslocation.spoofer,Fake GPS Location & Spoofer,Simulate Your Phone's Location Worldwide with Fake GPS in a Single Click!,14
com.fake.location.pro,,,14
com.wondershare.virtuallocation,Dr.Fone Virtual Location,Change your phone's location with our fake GPS location app - Virtual Location.,14
erfanrouhani.antispy,Anti spy detector & firewall,"Secure your camera, microphone and location. Firewall and screen capture blocker",13
com.vpn.free.fast.speed,VPN - Fast Speed VPN Proxy,"Unblocks all websites and apps, optimized for Russia VPN",12
com.usefullapps.fakegpslocationpro,,,12
com.nams.fenshen.wxclone,Clone App & Fake GPS,Clone native applications and modify location information,12
com.locationtrack.fakegps.mocklocation.fakegpslocation,,,11
com.globalgnss.gismapper,GIS Mapper - Surveying App for,GIS Mapper is a Real-time GIS Data Collection & Surveying App using GPS/GNSS.,11
com.ameerhamza6733.snapmapfakeloction,location changer for map,Change the location on any map app,10
com.github.thepiemonster.hidemocklocation,,,10
gpsfaker.fakelocation.spooflocation.changelocation.virtuallocation,GPS Faker: Change location,"Emulate GPS Location, Fake location for games and privacy, Spoof GPS Location",10
com.fakegps.fakelocation,Fake GPS Free,Fake GPS Free - Be anywhere else in the world,10
com.tenorshare.ianygo.fakegps,iAnyGo Fake GPS,One-click modification of mobile phone location to any location in the world,10
com.xdoapp.virtualphonenavigation,VPNa - Fake GPS Location Go,Change Your GPS Location to any place on earth!,8
fakegps.fakelocation.mocklocation.gpsfaker,GPS Faker & Location Spoofer,"Location faker,mock location,GPS router,spoof location,Jump teleport,joysticker",8
app.steve.fakeroute,Fake Route ( Mock Location ),"FakeRoute: Simulate, Navigate, Explore",7
com.kfn.fakegpsfree,,,7
com.wind.gpsfaker.pro,GPS Faker Pro-FakeGPS Location,Change the location on your phone to anywhere with just one click!,7
com.safisoft.fakelocation_duckgps,Fake GPS Location Mock Duck,Mock your Location to anywhere you want with one click you can fake GPS Location,7
com.multiverseproject.unicornvpnpremium,Unicorn VPN Premium,"Fast server, unlimited bandwidth, and of course have a lot of premium servers",7
com.discipleskies.mock_location_spoofer,DS Fake GPS Location,Transport your phone to anywhere on the planet by faking location with 1 click.,6
com.fakegps.fakelocation.fakegps,,,6
com.trimble.trimblemobilemanager,Trimble Mobile Manager,Configuration app for Trimble and Spectra Precision GNSS receivers and licenses.,6
com.lexa.fakegpsdonate,Fake GPS Location Donate,This is the donate version. If you like this app - please donate,6
com.electro_tex.fakegpsgo,Fake GPS GO,Simulate your GPS location,6
com.neogulabs.fakegps,,,5
com.github.warren_bank.mock_location,,,5
com.marlon.floating.fake.location,Fake GPS Location - Floater,"Mock location easily, no need to constantly switch apps. Gps spoof everywhere",5
com.github.marlowww.hidemocklocation,,,5
gp.com.turnersark.fakegpspaid,Fake GPS Location PRO,No1 Powerful app that can change your current location to any other location?,4
com.lkr.fakelocation,Fake Location (Mock GPS),"Analog position you want, use fake location positioning, so you everywhere.",4
com.fciwings.arms,FCI WINGS Official App,Warehouse Inventory Network & Governing System - WINGS,4
com.corevpn.googly,Core VPN,Core VPN is Fast & lightning VPN service Provider.,4
com.rasfar.mock.location,Mocation Fake Location,Mocation also called Fake location / Mock location helps to fake device location,3
com.fakemygps.android,,,3
com.dreams.studio.apps.fake.gps.loaction.changer,,,3
dev.lerist.fakelocation,Fake Location - Joystick&Route,Fake Location —— Mock Location & Route & Steps & Base Station & WIFI,3
com.exien.fakegps,Fake GPS,Move GPS from one city to another without actually moving to another city,3
com.spooffakegps.locationchanger,,,3
com.electro_tex.fakegpslocation,Fake GPS location,Simulate your gps location,3
br.com.mobileti.fakegpslocation,Fake GPS Location,Change your GPS location in real time,2
at.appmonkey.fakegps,Bubble Fake GPS - Simulate GPS,Fake your GPS to any location on the world. Super Simple,2
com.memoseed.mockuplocationuninstaller,Mockup Location Uninstaller,To solve the problems facing some when you install programs manipulate the GPS location of the device without the knowledge,2
de.locationchanger.fakegps,,,2
com.ina.fakegps,Fake GPS Changer (Mock GPS),Fake GPS Location Change your phone's location.,2
com.guzmatdev.fakegps,Fake GPS,"Fake GPS not detected, move the phone location to another place around the world",2
com.swipe.likemaster,Auto Like Click For Dating App,Auto Swipe on apps for you. Auto Like and Tap today to get more matches,2
com.ka.fakegps.flygps.locationchanger.mocklocation.fakegpslocation,Fake GPS Location Changer- Loc,Fake GPS is an Location Changer to set phone location to anywhere in the world.,2
com.spectraprecision.android.space,SPace,High accuracy GIS for smart phones and tablet,2
gpsnavigation.drivingdirections.livestreetview.routefinder.liveearthmap,GPS Navigation Live Earth Map,"Live Maps & Navigation with Directions, GPS, Locations, Routes & Satellite View.",2
com.Hola_Fake_GPS.App,,,2
mocklocation.gpsfakelocation.fakegps.gpsemulator.gpsjoystick.changemylocation,Fake GPS location App,Using the GPS Location app set your phone location to anywhere in the world.,2
com.tool.fakegpslocation,Fake GPS Location,With Fake GPS Location you can change your GPS location to anywhere easy,2
com.mocker.mockloc,Mock Loc,A must-have tool for any Android developers for injecting fake location in phone,2
com.idans.locationfaker,Location Faker,Easily fake your device GPS location. Be anywhere!,2
com.mock.cartage,Cartage - Fake GPS Locations,Cartage - Fake your GPS location with ease!,1
com.dreams.studio.apps.location.changer.fake.gps,,,1
com.luckydog.mocpogoapp,MocPOGO - Location Changer,"For all your location change needs, no root required.",1
com.redskymedia.fakegps,,,1
com.godevelopers.mockinfo,Mock Location Info - Check you,Simple app to check your mock location status.,1
com.locationchanger.fake.gps.routeplanner.map.navigation,,,1
com.ua.eugenezaychenko.mocklocations,,,1
com.gnssmaster,GNSS Master,"GNSS RTK Made Easy: Connect, Configure, Apply Corrections and Share",1
com.lkr.fakelocationpro,,,1
com.lerist.fakelocation,,,1
app.visionary.premiumvpn,Premium VPN - Lifetime Servers,"Premium VPN Ultra-Fast, High Speed, Super Secure Pro VPN Service.",1
com.gps.fakegps.route,,,1
amotz.example.com.mocklocationfordeveloper,,,1
com.luckydog.anygoapp,AnyGo Location Faker,⭐Easy-to-use location faker to change GPS location without root,1
mocklocation.changemylocation.gpsfakelocation.fakegps,,,1
com.ninja.toolkit.pulse.fake.gps.prp,,,1
com.selahaddinerdogan.fakegpswalk,,,1
com.tistory.maxxgreen.app.virtuallocation,Virtual Location (Fake GPS),Change your phone's GPS to where you want. Now you can move the desired interval,1
com.iFoneTool.AnyGo,AnyGo-AnyTo Change Location,"Spoofing apps that change the GPS location of maps, games, and social apps",1
ru.gavrikov.hidemocklocations,,,1
com.ilm.sandwich,SmartNavi - GPS independent Na,Save 80% battery with GPS independent navigation for offline maps,1
com.fakegps.location.il,,,1
com.allo.mockgps,Mock GPS,Fake your GPS location along a route!,1
com.globalgnss.gnsssurveyor,GNSS Surveyor - Centimeter Lev,"Connect GNSS Device by Bluetooth. GPS,GLONASS,GALILEO,BEIDOU,QZSS & SBAS Support",1
com.testbook.tbapp.gpsc,"GPSC Prep App: Mock Tests, PYP","The best GPSC app with free notes, mocks, previous year papers & more!",1
ru.gavrikov.hidemocklocationt,,,1
com.fakegps.mocl,,,1
com.papaya.navigation.route.finder,Driving Route GPS Navigation F,"Driving Route Navigation between two locations, Find Pace, Mock Your Location.",1
com.FalconAndroid.FalconAndroid,Falcon Mobile,Controls the entry or exit of your employees anywhere,1
com.nic.equipment_qrcode,e-upkaran - Equipment Manageme,CONDUCT EQUIPMENT SAFETY  INSPECTION ON MOBILE DEVICE WITH LIVE GPS TRACKING,1
com.kr.fingerprint,B9mty Attendance,B9mty Application for Attendance Reporting,1
com.ltp.pro.fakelocation,FGL Pro,Fake GPS Location & Routes & JoyStick,1
pt.com.turnersark.fakegpsfulllocationpro,Fake GPS Full Location PRO,Be Anywhere In The World With This Leading Fake GPS Location app,1
com.phongphan.fakegps,Fake GPS Location,Help you fake GPS location of Android device,1
com.edugorilla.gpsc_assistant_engineer_mocktest,,,1
net.tkgjamukeliling.mockchecker,Mock Checker,Check your mock location status,1
com.pe.fakegps,Fake GPS 360,"Fake GPS 360, teleport your phone to any place in the world with two clicks.",1
com.tomatovpn.apps.tomatovpn.tomatovpntwo,Tomato VPN,Tomato VPN - Secure Proxy: Unblock WiFi Security & Privacy Anonymous Online,1
com.kfn.fakegpspro,,,1
com.hopefactory2021.fakegpslocatioo,,,1
com.gps.route.finder.fake.location.changer,Live Location Changer 2022,Live Location Changer and GPS Route Finder is one stop solution  for you.,1
pro.xhypher.tunnel,Xhypher Tunnel Pro,"Xhypher Tunnel Pro OpenVPN v3, SSH, OpenVPN UDP, UDP Hysteria and V2ray",1